Punjab,Chintpurni Medical College, Pathankot, Gurdaspur
Madhya Pradesh,Chirayu Medical College and Hospital, Bairagarh, Bhopal
Punjab,Christian Medical College, Ludhiana
Tamil Nadu,Christian Medical College, Vellore
Tamil Nadu,Coimbatore Medical College, Coimbatore
West Bengal,College of Medicine and JNM Hospital Kalyani, Nadia
West Bengal,College of Medicine and Sagore Dutta Hospital, Kolkata
West Bengal,Coochbehar Government Medical College & Hospital, Coochbehar, WB
Gujarat,CU Shah Medical College, Surendra Nagar
Bihar,Darbhanga Medical College, Lehriasarai
Maharashtra,Datta Meghe Medical College, Nagpur
Punjab,Dayanand Medical College & Hospital, Ludhiana
Telangana,Deccan College of Medical Sciences, Hyderabad
Tamil Nadu,Dhanalakshmi Srinivasan Medical College and Hospital, Perambalur
Assam,Dhubri Medical College, Dhubri
West Bengal,Diamond Harbour Government Medical College and Hospital, West Bengal
Assam,Diphu Medical College & Hospital, Diphu, Assam
Uttarakhand,Doon Medical College, Dehradun, Uttarakhand
Punjab,Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar , Mohali
Karnataka,Dr BR Ambedkar Medical College, Bangalore
Rajasthan, Dr S S Tantia Medical College Hospital & Research Centre, Sri Ganganagar
Rajasthan,Dr SN Medical College, Jodhpur
Maharashtra,Dr Vaishampayan Memorial Medical College, Solapur
Delhi,Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi
Karnataka,Dr. Chandramma Dayananda Sagar Instt. of Medical Education & Research, Harohalli, Hubli
Maharashtra,Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune
Maharashtra,Dr. D Y Patil Medical College, Kolhapur
Gujarat,Dr. M.K. Shah Medical College & Research Centre, Ahmedabad
Kerala,Dr. Moopen s Medical College, Wayanad, Kerala
Maharashtra, Dr. N Y Tasgaonkar Institute of Medical Science, Diksal
Gujarat,Dr. N.D. Desai Faculty of Medical Science and Research, Nadiad
Andhra Pradesh,Dr. P.S.I. Medical College , Chinoutpalli
Maharashtra,Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College, Amravati
Telangana,Dr. Patnam Mahender Reddy Institute of Medical Sciences, Chevella, Rangareddy
Himachal Pradesh,Dr. Radhakrishnan Government Medical College, Hamirpur, H.P
Himachal Pradesh,Dr. Rajendar Prasad Government Medical College, Tanda, H.P
Uttar Pradesh,Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow
Maharashtra,Dr. Shankarrao Chavan Govt. Medical College, Nanded
Kerala,Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam, Thiruvananthapuram
Maharashtra,Dr. Ulhas Patil Medical College & Hospital, Jalgaon
Maharashtra,Dr. Vithalrao Vikhe Patil Foundations Medical College & Hospital, Ahmednagar
Telangana,Dr. VRK Womens Medical College, Aziznagar
Gujarat, Dr.Kiran C.Patel Medical College and Research Institute, Bharuch
Maharashtra,Dr.Vasantrao Pawar Med. Col. Hosp. & Research Centre, Nasik (Prev. NDMVP Samaj Medical College)
Jharkhand,Dumka Medical College, Dighi Dumka
Karnataka,East Point College of Medical Sciences & Research Centre, Bangalore
Telangana,Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad
Karnataka,Employees State Insurance Corporation Medical College, Bangalore
Haryana,Employees State Insurance Corporation Medical College, Faridabad
Karnataka,Employees State Insurance Corporation Medical College, Gulbarga
West Bengal,Employees State Insurance Corporation Medical College, Joka, Kolkata
Rajasthan,Employees State Insurance Corporation Medical College, Alwar
Bihar,Employees State Insurance Corporation Medical College, Patna
Uttar Pradesh,Era Lucknow Medical College , Lucknow
Tamil Nadu,ESIC Medical College & PGIMSR, K.K Nagar, Chennai
Uttar Pradesh,F.H. Medical College & Hospital, Etamdapur, Agra
Tamil Nadu,Faculty of Medicine , Sri Lalithambigai Medical College and Hospital
Haryana,Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre, Gurgaon)
Assam,Fakhruddin Ali Ahmed Medical College, Barpeta, Assam
Karnataka,Father Mullers Medical College, Mangalore
Andhra Pradesh,Fathima Instt. of Medical Sciences, Kadapa
Karnataka, G R Medical College Hospital & Research Centre, Neermarga Proper
Uttar Pradesh,G.S. Medical College & Hospital, Hapur, UP
Karnataka,Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, Gadag
Madhya Pradesh,Gajra Raja Medical College, Gwalior
Madhya Pradesh,Gandhi Medical College, Bhopal
Telangana,Gandhi Medical College, Secunderabad
Assam,Gauhati Medical College, Guwahati
Uttarakhand,Gautam Buddha Chikitsa Mahavidyalaya, Dehradum
Andhra Pradesh,Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam
Gujarat,GCS Medical College, Ahmedabad
Rajasthan,Geetanjali Medical College & Hospital, Udaipur
Punjab,Gian Sagar Medical College & Hospital, Patiala
Andhra Pradesh,GITAM Institute of Medical Sciences and Research, Visakhapatnam
Gujarat,GMERS Medical College, Dharpur Patan
Gujarat,GMERS Medical College, Gandhinagar
Gujarat,GMERS Medical College, Gotri, Vadodara
Gujarat,GMERS Medical College, Hadiyol, Himmatnagar
Gujarat,GMERS Medical College, Junagadh
Gujarat,GMERS Medical College, Navsari
Gujarat,GMERS Medical College, Rajpipla
